35 0.5
-35 0.5
-35 0.5
-35 0.5
-35 0.125
35 0.04
-35 0.5
35 0.125
35 0.04
-35 0.25
-35 0.125
35 0.0625
35 0.5
-35 0.5
-35 0.0625
-35 0.0625
35 0.04
35 0.25
-35 1.0
-35 0.0625
-35 0.04
-35 0.25
35 0.04
35 0.5
35 0.04
35 0.04
-35 0.0625
-35 0.25
35 0.125
-35 0.5
35 1.0
35 0.125
-35 0.25
-35 0.125
35 0.125
-35 0.04
-35 0.125
35 0.04
-35 1.0
35 0.5
-35 0.125
-35 0.25
35 1.0
-35 0.04
35 0.25
35 0.0625
-35 0.04
35 0.25
35 0.125
35 0.5
-35 0.04
35 0.25
-35 0.125
35 1.0
35 0.0625
-35 0.25
-35 0.5
-35 0.5
35 0.25
35 0.25
-35 0.25
-35 1.0
35 1.0
35 0.25
-35 0.25
35 0.25
35 0.5
35 1.0
35 0.25
35 0.125
35 0.0625
35 0.0625
-35 0.0625
-35 0.125
35 0.0625
-35 1.0
35 0.125
-35 0.5
35 1.0
-35 0.125
35 0.0625
-35 1.0
35 1.0
-35 0.25
35 0.5
-35 0.0625
35 0.25
35 0.125
35 0.125
-35 0.04
35 0.0625
35 0.04
35 0.04
-35 0.125
-35 0.5
-35 1.0
35 0.125
35 0.04
-35 0.125
35 0.125
-35 0.04
-35 0.25
-35 0.125
35 0.0625
35 0.125
-35 0.125
-35 1.0
35 1.0
35 0.0625
35 0.0625
35 0.5
-35 0.0625
-35 0.0625
-35 1.0
35 0.5
-35 0.5
-35 0.04
-35 0.04
-35 0.04
-35 0.0625
35 0.04
-35 0.04
-35 1.0
35 0.125
35 1.0
-35 0.25
35 1.0
35 0.0625
35 0.04
-35 0.125
-35 0.5
-35 1.0
-35 0.04
35 0.04
-35 1.0
35 0.5
-35 0.5
-35 0.125
35 0.0625
-35 1.0
35 0.04
35 0.5
-35 0.04
35 0.04
-35 0.0625
-35 0.04
-35 0.04
35 0.0625
35 0.25
35 1.0
35 0.0625
-35 0.25
-35 0.04
-35 0.5
-35 0.0625
-35 1.0
-35 0.0625
35 0.5
35 0.04
-35 0.5
-35 0.04
-35 0.0625
-35 1.0
35 0.25
35 1.0
-35 0.5
-35 1.0
35 1.0
-35 0.5
35 0.04
-35 0.0625
35 1.0
-35 0.25
35 0.25
-35 0.5
35 0.04
-35 0.25
-35 1.0
35 0.125
-35 0.04
35 1.0
35 0.5
-35 0.0625
35 0.0625
35 0.125
35 0.5
35 0.5
-35 0.125
-35 0.125
-35 0.04
-35 1.0
-35 0.04
-35 0.0625
35 0.0625
35 0.04
35 0.125
-35 0.5
-35 1.0
35 1.0
-35 0.25
35 0.25
-35 0.5
-35 0.0625
35 0.5
-35 1.0
-35 0.25
35 0.125
35 0.5
-35 0.0625
-35 0.125
35 0.0625
-35 0.25
35 1.0
-35 0.125
-35 0.0625
-35 0.25
-35 0.125
35 0.25
35 0.25
35 0.25
-35 0.25
-35 1.0
35 0.5
35 0.5
35 1.0
35 1.0
35 0.125
-35 0.125
35 0.0625
35 0.04
35 0.25
35 0.125
35 0.25
35 1.0
-35 0.25
35 0.0625
35 0.5
-35 0.0625
35 0.25
35 0.125
